CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
CUST000021,0,41.8,Mobile Phone,Tier 2,78.2,Cash on Delivery,Male,1.4,2,Grocery,4,Divorced,8,0,12.7,10,11,43.2,155.74
CUST000022,0,17.8,Tablet,Tier 1,110.1,UPI,Female,3.5,2,Laptop & Accessory,5,Single,17,1,13.1,5,10,29.4,292.43
CUST000023,0,55.5,Tablet,Tier 2,111.0,Credit Card,Male,1.5,2,Mobile Phone,2,Married,12,0,15.5,13,2,16.8,307.1
CUST000024,0,58.3,Computer,Tier 2,93.4,Cash on Delivery,Male,3.8,2,Others,3,Single,21,0,15.2,0,8,20.7,302.95
CUST000025,0,56.7,Tablet,Tier 3,96.0,Debit Card,Male,3.1,4,Mobile Phone,5,Single,12,1,20.1,6,8,39.6,314.22
CUST000026,1,28.5,Tablet,Tier 1,73.1,Credit Card,Male,0.4,1,Laptop & Accessory,3,Married,1,0,23.3,8,1,6.0,289.47
CUST000027,0,51.7,Computer,Tier 3,76.3,E-wallet,Male,2.6,2,Fashion,4,Single,4,0,22.4,10,1,15.0,233.53
CUST000028,0,50.7,Tablet,Tier 3,21.3,Credit Card,Female,1.7,4,Grocery,2,Single,8,0,14.9,15,13,26.6,192.22
CUST000029,0,19.1,Tablet,Tier 2,59.2,Cash on Delivery,Female,1.6,2,Others,5,Single,1,0,14.7,1,4,31.1,210.63
CUST000030,0,49.7,Tablet,Tier 1,60.0,Credit Card,Male,3.0,3,Mobile Phone,4,Married,15,1,25.5,14,2,35.1,296.34
CUST000031,0,2.2,Mobile Phone,Tier 2,121.9,Debit Card,Male,1.6,2,Laptop & Accessory,1,Divorced,18,1,11.1,2,12,14.6,167.81
CUST000032,0,35.8,Computer,Tier 1,57.6,Debit Card,Male,3.9,6,Laptop & Accessory,4,Married,1,0,24.2,3,15,6.7,135.83
CUST000033,0,13.8,Computer,Tier 3,72.0,E-wallet,Female,0.4,6,Grocery,3,Married,11,0,14.0,6,1,43.9,131.68
CUST000034,1,7.2,Computer,Tier 1,70.1,UPI,Female,3.3,2,Laptop & Accessory,2,Married,2,0,25.2,11,9,3.5,286.07
CUST000035,1,4.6,Mobile Phone,Tier 2,82.7,Cash on Delivery,Male,4.0,5,Laptop & Accessory,2,Single,1,0,16.1,3,13,4.4,271.33
CUST000036,1,41.8,Mobile Phone,Tier 2,96.3,Cash on Delivery,Female,3.4,3,Grocery,4,Divorced,12,0,17.6,9,3,22.8,211.97
CUST000037,0,20.4,Computer,Tier 2,32.5,UPI,Female,2.5,1,Others,1,Married,16,0,21.6,5,14,37.7,161.85
CUST000038,0,43.5,Mobile Phone,Tier 1,69.5,Debit Card,Male,4.8,2,Fashion,3,Married,22,0,19.8,13,14,35.6,252.46
CUST000039,0,3.9,Computer,Tier 3,105.8,Debit Card,Male,1.5,1,Fashion,4,Divorced,22,0,15.8,2,14,43.1,108.65
CUST000040,0,18.9,Mobile Phone,Tier 3,61.5,Credit Card,Female,0.1,3,Mobile Phone,4,Divorced,10,0,19.3,16,1,6.5,227.85
CUST000041,0,32.4,Tablet,Tier 1,39.0,E-wallet,Female,2.2,2,Others,2,Divorced,18,0,22.0,10,2,17.3,189.65
CUST000042,0,47.4,Tablet,Tier 2,84.9,E-wallet,Female,0.2,5,Mobile Phone,3,Single,15,0,11.6,9,8,13.0,320.02
CUST000043,0,19.1,Computer,Tier 3,105.5,E-wallet,Male,4.8,4,Fashion,1,Divorced,17,1,11.2,9,5,39.6,214.2
CUST000044,1,37.6,Mobile Phone,Tier 2,12.7,Credit Card,Male,1.0,5,Grocery,2,Single,10,1,17.9,9,11,22.5,224.26
CUST000045,0,53.2,Mobile Phone,Tier 1,99.8,E-wallet,Male,3.9,5,Laptop & Accessory,4,Married,3,0,13.0,2,7,1.2,260.28
CUST000046,0,37.0,Tablet,Tier 2,105.2,UPI,Female,3.9,4,Fashion,2,Single,21,0,21.0,14,6,32.6,209.02
CUST000047,0,14.0,Tablet,Tier 3,61.3,Credit Card,Female,1.1,4,Others,2,Divorced,16,1,14.2,16,13,17.9,150.53
CUST000048,0,1.5,Mobile Phone,Tier 3,125.0,UPI,Male,3.1,6,Fashion,5,Single,6,1,17.5,11,16,24.4,220.89
CUST000049,0,52.2,Mobile Phone,Tier 2,101.0,Credit Card,Female,0.2,4,Others,2,Divorced,3,1,14.0,4,16,41.1,312.46
CUST000050,0,1.3,Mobile Phone,Tier 1,99.4,E-wallet,Male,2.4,2,Others,2,Single,9,0,19.2,15,1,11.8,192.23
CUST000051,1,52.5,Mobile Phone,Tier 2,96.2,UPI,Female,0.1,1,Others,3,Married,11,1,12.7,14,6,11.1,252.92
CUST000052,1,31.7,Mobile Phone,Tier 1,23.4,UPI,Male,4.6,6,Mobile Phone,2,Single,21,0,11.3,14,11,12.1,320.06
CUST000053,1,56.3,Mobile Phone,Tier 2,31.5,UPI,Female,4.9,6,Grocery,1,Married,13,0,11.8,5,7,15.6,286.73
CUST000054,1,47.9,Computer,Tier 3,61.6,Credit Card,Female,1.1,1,Fashion,4,Divorced,18,1,25.3,11,4,4.9,248.28
CUST000055,0,59.9,Mobile Phone,Tier 1,37.2,Cash on Delivery,Male,1.0,6,Grocery,3,Married,22,0,13.1,1,8,32.1,265.6
CUST000056,1,21.0,Tablet,Tier 1,55.7,E-wallet,Male,3.8,4,Laptop & Accessory,2,Divorced,22,1,21.6,8,8,9.5,310.71
CUST000057,0,46.0,Computer,Tier 1,113.4,UPI,Male,1.3,5,Fashion,1,Divorced,4,0,12.0,3,7,42.6,315.94
CUST000058,0,24.1,Mobile Phone,Tier 3,105.6,Cash on Delivery,Male,4.5,3,Grocery,4,Married,22,1,12.6,4,16,9.9,318.02
CUST000059,0,28.8,Tablet,Tier 2,81.9,E-wallet,Male,2.9,4,Grocery,3,Married,8,0,18.6,7,11,11.8,240.77
CUST000060,0,37.7,Computer,Tier 3,109.7,E-wallet,Female,1.8,5,Laptop & Accessory,1,Single,13,1,18.0,9,15,13.7,186.56
CUST000061,0,52.4,Tablet,Tier 1,100.6,UPI,Male,4.2,5,Others,2,Single,10,0,25.3,6,2,35.4,129.96
CUST000062,0,59.0,Mobile Phone,Tier 2,57.3,UPI,Male,2.5,6,Fashion,5,Married,2,0,25.2,13,6,19.7,186.75
CUST000063,1,46.1,Mobile Phone,Tier 3,29.5,Credit Card,Male,4.6,2,Fashion,5,Married,8,0,22.7,4,6,37.7,312.16
CUST000064,0,25.1,Mobile Phone,Tier 1,67.7,Cash on Delivery,Male,4.6,2,Laptop & Accessory,3,Married,6,0,20.0,15,12,36.1,300.2
CUST000065,0,25.3,Mobile Phone,Tier 1,94.8,Cash on Delivery,Male,0.8,6,Others,1,Married,16,0,17.8,14,15,42.8,217.82
CUST000066,0,44.3,Computer,Tier 3,58.2,UPI,Female,0.0,6,Fashion,4,Divorced,18,0,16.3,4,12,34.8,220.83
CUST000067,0,14.3,Computer,Tier 3,86.3,E-wallet,Male,4.9,1,Fashion,1,Married,17,0,25.2,2,7,2.4,169.51
CUST000068,1,6.6,Tablet,Tier 3,16.5,UPI,Male,4.5,1,Fashion,5,Married,6,0,20.0,9,6,38.5,202.26
CUST000069,0,21.3,Mobile Phone,Tier 1,96.3,E-wallet,Male,0.3,3,Others,3,Married,13,0,19.7,4,2,43.2,260.75
CUST000070,1,17.2,Tablet,Tier 3,104.2,E-wallet,Female,4.2,3,Laptop & Accessory,2,Married,14,1,14.5,14,8,45.7,190.55
CUST000071,1,17.8,Computer,Tier 1,91.2,UPI,Female,2.3,3,Fashion,1,Divorced,21,0,11.7,7,15,5.8,142.3
CUST000072,0,14.0,Mobile Phone,Tier 3,123.0,Debit Card,Male,1.3,3,Grocery,5,Single,10,0,25.2,1,4,28.2,221.69
CUST000073,0,2.5,Mobile Phone,Tier 1,105.9,Cash on Delivery,Male,4.4,5,Others,4,Single,11,0,15.7,7,9,9.2,150.7
CUST000074,1,1.1,Computer,Tier 1,115.2,E-wallet,Female,1.0,5,Mobile Phone,3,Single,13,0,17.6,7,8,12.1,319.21
CUST000075,1,59.3,Computer,Tier 2,118.9,E-wallet,Female,4.7,1,Laptop & Accessory,2,Single,12,0,12.7,3,14,34.3,187.83
CUST000076,1,25.7,Computer,Tier 3,102.8,Debit Card,Female,1.0,2,Grocery,1,Single,9,0,23.6,0,3,45.0,304.67
CUST000077,1,23.1,Computer,Tier 3,87.3,Credit Card,Male,3.1,6,Fashion,4,Divorced,4,1,11.4,14,3,27.4,150.75
CUST000078,0,40.8,Computer,Tier 1,5.7,Debit Card,Male,1.1,2,Mobile Phone,2,Single,7,0,23.5,11,8,39.1,142.57
CUST000079,0,13.1,Mobile Phone,Tier 1,61.8,Debit Card,Female,2.7,4,Laptop & Accessory,5,Divorced,22,0,13.1,0,2,0.4,238.8
CUST000080,0,57.0,Computer,Tier 1,74.7,E-wallet,Male,3.4,5,Others,5,Divorced,2,0,24.3,6,9,1.7,275.36
CUST000081,1,47.2,Mobile Phone,Tier 2,42.1,Cash on Delivery,Female,1.0,3,Mobile Phone,4,Single,7,0,21.9,0,4,27.4,227.52
CUST000082,0,5.4,Mobile Phone,Tier 2,43.8,Debit Card,Female,2.6,3,Mobile Phone,5,Single,9,0,13.5,6,15,17.9,151.7
CUST000083,0,25.1,Computer,Tier 1,122.3,Credit Card,Female,2.3,4,Grocery,3,Single,5,1,19.5,1,6,40.9,108.53
CUST000084,0,52.7,Computer,Tier 3,113.8,UPI,Male,0.4,2,Laptop & Accessory,4,Married,15,0,15.7,6,3,13.9,239.11
CUST000085,0,56.7,Mobile Phone,Tier 3,108.6,Debit Card,Female,4.1,3,Grocery,5,Divorced,18,0,13.7,12,3,19.9,129.48
CUST000086,0,28.0,Computer,Tier 2,54.5,Debit Card,Female,1.7,2,Grocery,1,Single,4,0,23.9,4,3,24.3,177.21
CUST000087,1,36.8,Computer,Tier 2,6.7,Credit Card,Male,2.9,6,Fashion,5,Married,19,1,17.1,0,11,12.6,252.05
CUST000088,0,10.0,Computer,Tier 1,14.8,Cash on Delivery,Female,2.6,4,Others,3,Divorced,20,0,17.0,0,13,41.8,122.06
CUST000089,1,59.5,Tablet,Tier 3,43.1,Debit Card,Male,2.6,2,Mobile Phone,2,Married,7,0,13.5,0,10,21.4,128.63
CUST000090,0,13.9,Mobile Phone,Tier 1,6.9,Debit Card,Female,0.5,6,Laptop & Accessory,2,Married,8,0,16.7,4,12,19.5,113.87
CUST000091,0,56.6,Tablet,Tier 2,7.1,Cash on Delivery,Male,2.1,2,Others,5,Single,17,0,24.1,8,14,39.1,324.12
CUST000092,1,39.0,Computer,Tier 3,116.8,Credit Card,Female,2.3,2,Others,2,Divorced,13,1,16.4,11,14,14.4,187.09
CUST000093,1,36.5,Tablet,Tier 3,91.2,Debit Card,Female,3.7,3,Laptop & Accessory,5,Married,21,0,25.3,8,14,37.6,303.8
CUST000094,0,30.8,Computer,Tier 2,42.7,Cash on Delivery,Female,4.2,1,Others,3,Divorced,11,0,25.2,10,12,5.6,166.06
CUST000095,1,13.8,Tablet,Tier 1,21.2,Debit Card,Female,2.7,5,Fashion,2,Single,1,1,13.2,0,2,8.4,269.47
CUST000096,0,10.6,Computer,Tier 1,67.4,UPI,Female,0.4,2,Others,1,Divorced,2,0,13.7,9,8,43.7,149.29
CUST000097,0,13.2,Tablet,Tier 3,5.7,E-wallet,Male,1.2,2,Fashion,5,Married,17,0,23.9,1,16,38.8,212.12
CUST000098,0,11.2,Tablet,Tier 2,119.5,UPI,Male,0.8,2,Mobile Phone,2,Married,5,0,16.9,6,9,17.8,285.54
CUST000099,0,46.8,Tablet,Tier 3,55.6,Debit Card,Female,0.6,1,Mobile Phone,3,Divorced,6,0,11.1,1,15,29.4,283.68
CUST000100,0,21.0,Mobile Phone,Tier 2,54.1,Credit Card,Female,1.8,6,Grocery,3,Married,7,0,15.1,5,8,43.4,278.71
CUST000101,0,3.5,Tablet,Tier 1,52.7,E-wallet,Female,1.1,4,Fashion,1,Married,21,1,20.0,9,15,9.7,285.34
CUST000102,0,58.1,Mobile Phone,Tier 2,13.5,UPI,Male,1.1,3,Mobile Phone,3,Married,15,0,23.0,8,10,2.7,147.58
CUST000103,0,53.0,Computer,Tier 1,82.9,Cash on Delivery,Male,0.3,1,Others,3,Single,19,0,13.0,7,3,24.7,208.5
CUST000104,0,55.7,Tablet,Tier 2,94.4,Credit Card,Female,0.1,6,Laptop & Accessory,2,Single,16,1,12.7,10,7,6.6,209.1
CUST000105,1,59.7,Computer,Tier 3,87.5,UPI,Male,0.5,2,Laptop & Accessory,5,Married,13,0,24.8,8,11,8.6,300.36
CUST000106,0,10.4,Computer,Tier 1,21.9,Cash on Delivery,Female,0.9,6,Fashion,4,Divorced,5,0,22.3,8,10,41.0,166.8
CUST000107,0,23.8,Tablet,Tier 3,75.6,Debit Card,Female,2.2,1,Grocery,3,Single,3,0,19.8,7,2,0.3,309.59
CUST000108,1,45.5,Mobile Phone,Tier 3,74.5,Cash on Delivery,Female,2.6,1,Others,3,Divorced,3,1,22.5,14,4,37.6,201.43
CUST000109,0,41.8,Tablet,Tier 1,110.9,UPI,Male,0.7,1,Fashion,4,Married,19,1,17.4,1,12,23.8,250.7
CUST000110,0,9.2,Computer,Tier 1,51.3,UPI,Female,2.1,4,Laptop & Accessory,3,Married,14,1,22.4,0,13,25.7,160.5
CUST000111,0,48.9,Computer,Tier 3,50.3,Debit Card,Female,1.7,5,Fashion,2,Divorced,16,1,16.6,8,14,30.9,192.32
CUST000112,0,13.5,Tablet,Tier 3,80.5,Cash on Delivery,Female,0.9,3,Others,2,Single,22,0,14.7,8,13,19.8,259.71
CUST000113,1,13.4,Mobile Phone,Tier 3,82.2,Cash on Delivery,Male,0.0,4,Mobile Phone,4,Divorced,17,0,21.9,12,6,5.3,215.37
CUST000114,1,32.2,Mobile Phone,Tier 3,62.3,Debit Card,Male,2.3,4,Others,3,Divorced,4,1,17.3,7,11,4.7,309.41
CUST000115,0,35.6,Computer,Tier 1,59.1,Cash on Delivery,Male,3.4,5,Mobile Phone,3,Married,13,0,25.7,4,5,34.7,265.85
CUST000116,1,34.8,Computer,Tier 1,65.3,Debit Card,Female,1.1,4,Mobile Phone,5,Single,8,0,16.2,2,13,10.2,226.99
CUST000117,1,5.5,Mobile Phone,Tier 3,110.0,Credit Card,Male,0.7,1,Mobile Phone,3,Divorced,19,0,24.8,3,9,1.3,299.5
CUST000118,0,52.6,Tablet,Tier 2,61.3,UPI,Female,4.4,1,Fashion,2,Single,5,0,25.0,16,10,45.1,249.75
CUST000119,1,15.9,Computer,Tier 2,119.7,Credit Card,Male,1.4,6,Laptop & Accessory,1,Married,2,1,14.6,15,4,45.1,245.65
CUST000120,0,7.8,Mobile Phone,Tier 1,66.5,E-wallet,Female,1.1,2,Fashion,1,Single,15,0,23.0,15,5,17.4,155.43
CUST000121,1,53.3,Computer,Tier 3,120.8,E-wallet,Male,4.3,4,Laptop & Accessory,1,Married,2,0,17.5,2,4,1.2,188.84
CUST000122,1,57.3,Tablet,Tier 3,106.6,E-wallet,Female,4.1,2,Others,1,Single,11,1,24.8,5,14,33.5,253.74
CUST000123,0,51.7,Mobile Phone,Tier 1,49.2,Debit Card,Male,2.2,3,Grocery,3,Divorced,13,0,17.8,0,13,38.2,300.65
CUST000124,0,48.6,Computer,Tier 2,110.4,Cash on Delivery,Male,2.4,1,Others,3,Married,10,0,22.2,15,14,5.8,171.0
CUST000125,0,39.3,Tablet,Tier 2,18.4,Credit Card,Male,1.1,6,Fashion,5,Divorced,3,0,18.0,14,8,6.2,148.48
CUST000126,0,33.1,Computer,Tier 2,117.9,Credit Card,Female,0.4,3,Fashion,3,Married,5,1,14.4,6,16,37.8,233.58
CUST000127,1,5.2,Tablet,Tier 1,82.1,Credit Card,Male,2.9,6,Laptop & Accessory,1,Single,3,1,14.0,1,13,42.4,115.12
CUST000128,1,24.5,Tablet,Tier 2,11.6,Credit Card,Male,0.5,5,Fashion,4,Single,6,1,17.4,9,8,36.4,260.77
CUST000129,0,22.4,Mobile Phone,Tier 1,83.6,E-wallet,Male,2.2,1,Mobile Phone,4,Married,13,0,22.3,14,15,9.2,258.21
CUST000130,0,15.6,Tablet,Tier 1,123.9,Credit Card,Male,4.7,3,Fashion,2,Married,10,0,20.1,5,3,18.9,179.87
CUST000131,0,43.4,Computer,Tier 3,13.5,Cash on Delivery,Female,4.8,5,Laptop & Accessory,2,Married,19,1,21.3,1,1,27.6,300.85
CUST000132,0,29.8,Tablet,Tier 2,72.7,E-wallet,Male,1.2,3,Laptop & Accessory,3,Single,8,1,15.2,16,6,7.4,212.99
CUST000133,0,4.9,Tablet,Tier 1,96.2,Credit Card,Female,3.1,6,Mobile Phone,4,Married,18,0,18.2,0,2,9.7,245.3
CUST000134,0,13.2,Mobile Phone,Tier 2,103.9,Debit Card,Female,2.4,5,Laptop & Accessory,1,Married,3,0,11.7,0,2,13.0,147.16
CUST000135,1,41.0,Tablet,Tier 2,55.5,UPI,Female,4.4,5,Grocery,1,Divorced,17,1,23.3,3,3,23.4,193.9
CUST000136,0,4.6,Tablet,Tier 3,29.9,UPI,Female,1.4,1,Others,1,Married,8,1,25.8,15,8,23.5,294.04
CUST000137,0,51.1,Computer,Tier 2,10.2,UPI,Male,0.0,2,Fashion,3,Divorced,10,1,17.1,7,3,37.5,147.91
CUST000138,1,29.7,Mobile Phone,Tier 3,75.7,E-wallet,Female,0.8,6,Grocery,3,Divorced,2,1,11.2,0,16,34.6,187.88
CUST000139,0,28.8,Mobile Phone,Tier 1,60.3,Credit Card,Female,1.7,6,Fashion,5,Divorced,12,0,13.5,10,7,42.0,171.57
CUST000140,1,35.5,Mobile Phone,Tier 2,120.7,E-wallet,Female,1.6,5,Grocery,1,Single,6,0,20.8,16,10,38.3,134.0
CUST000141,1,49.5,Tablet,Tier 1,12.4,Cash on Delivery,Female,4.0,5,Fashion,1,Divorced,2,0,20.2,9,14,11.7,165.19
CUST000142,0,20.9,Mobile Phone,Tier 2,88.6,Debit Card,Male,3.4,1,Mobile Phone,3,Married,21,0,22.8,11,10,15.2,152.37
CUST000143,0,40.7,Tablet,Tier 1,8.0,Debit Card,Male,1.5,2,Laptop & Accessory,3,Single,3,0,14.8,8,9,23.0,307.81
CUST000144,0,33.9,Tablet,Tier 2,25.9,UPI,Female,2.3,6,Laptop & Accessory,5,Single,17,0,22.5,6,13,0.7,266.74
CUST000145,0,16.0,Computer,Tier 2,60.3,UPI,Female,0.5,4,Mobile Phone,5,Single,7,0,21.3,11,8,41.6,171.12
CUST000146,0,52.7,Computer,Tier 2,60.5,UPI,Female,4.5,4,Grocery,2,Single,21,0,15.8,14,1,2.0,271.75
CUST000147,0,47.8,Computer,Tier 2,88.7,Credit Card,Male,4.7,2,Others,4,Single,5,0,19.2,7,7,14.8,104.98
CUST000148,0,39.5,Computer,Tier 2,116.0,Cash on Delivery,Male,4.9,3,Grocery,1,Single,1,0,13.2,16,7,26.2,218.47
CUST000149,0,51.0,Computer,Tier 2,83.0,Cash on Delivery,Male,4.3,1,Laptop & Accessory,1,Single,8,0,17.8,4,8,23.8,156.33
CUST000150,0,52.0,Tablet,Tier 2,121.3,Cash on Delivery,Male,0.9,2,Others,5,Divorced,12,0,24.2,13,16,30.1,125.72
CUST000151,1,42.5,Tablet,Tier 2,112.6,Cash on Delivery,Male,0.2,4,Fashion,5,Married,14,0,17.3,1,10,24.3,298.85
CUST000152,0,50.2,Mobile Phone,Tier 2,76.3,UPI,Female,2.9,5,Others,2,Married,16,1,23.6,15,5,10.5,144.85
CUST000153,0,41.8,Tablet,Tier 1,106.7,Debit Card,Male,4.6,4,Grocery,4,Divorced,10,0,19.9,16,10,9.2,285.04
CUST000154,0,40.8,Tablet,Tier 3,83.4,UPI,Male,0.9,5,Mobile Phone,2,Divorced,15,0,13.9,2,9,41.7,192.98
CUST000155,1,37.1,Computer,Tier 2,14.6,Cash on Delivery,Female,0.0,1,Fashion,4,Single,21,0,19.7,0,9,12.1,103.22
CUST000156,0,45.2,Tablet,Tier 3,95.3,UPI,Male,4.0,5,Grocery,1,Single,15,0,18.6,3,8,12.9,264.82
CUST000157,0,9.5,Computer,Tier 2,16.6,Cash on Delivery,Male,0.4,2,Fashion,2,Divorced,10,0,17.0,14,6,19.0,234.18
CUST000158,1,52.9,Mobile Phone,Tier 2,77.5,E-wallet,Male,2.1,5,Others,5,Single,21,1,12.8,9,6,6.4,177.44
CUST000159,0,52.3,Mobile Phone,Tier 1,90.7,Debit Card,Female,3.4,3,Laptop & Accessory,2,Married,7,1,17.3,4,1,23.3,163.35
CUST000160,1,1.8,Tablet,Tier 1,13.1,E-wallet,Male,1.2,2,Grocery,2,Married,3,0,12.1,10,13,30.6,116.58
CUST000161,0,49.5,Mobile Phone,Tier 3,33.2,Credit Card,Female,0.4,1,Mobile Phone,1,Single,2,0,12.5,6,16,36.2,311.82
CUST000162,0,7.7,Tablet,Tier 1,116.7,UPI,Female,3.9,2,Others,5,Single,6,1,17.2,4,15,32.7,211.15
CUST000163,0,20.1,Mobile Phone,Tier 1,80.2,Credit Card,Male,3.2,3,Grocery,5,Single,21,1,15.6,11,6,6.8,119.24
CUST000164,0,44.6,Computer,Tier 3,35.0,UPI,Male,4.9,1,Mobile Phone,3,Married,9,0,24.9,14,14,21.0,295.45
CUST000165,0,9.6,Computer,Tier 1,89.3,E-wallet,Male,1.7,4,Grocery,3,Single,10,0,16.6,11,4,1.8,162.74
CUST000166,1,49.1,Computer,Tier 2,77.8,Cash on Delivery,Male,0.3,3,Others,3,Divorced,4,0,22.4,3,4,0.8,145.81
CUST000167,0,49.9,Computer,Tier 3,66.2,Cash on Delivery,Female,3.7,1,Grocery,1,Single,3,0,19.0,11,14,20.2,163.21
CUST000168,0,30.4,Tablet,Tier 3,124.1,UPI,Male,2.6,5,Fashion,2,Divorced,9,0,21.6,16,2,11.6,227.03
CUST000169,0,0.4,Mobile Phone,Tier 2,88.4,Cash on Delivery,Female,1.1,2,Others,5,Single,22,0,14.9,15,13,31.4,116.66
CUST000170,0,17.2,Tablet,Tier 1,50.8,E-wallet,Female,3.9,1,Grocery,5,Single,17,0,25.1,10,11,33.3,208.4
CUST000171,0,37.0,Computer,Tier 3,102.6,Cash on Delivery,Female,1.0,2,Laptop & Accessory,2,Married,14,0,19.0,1,14,41.2,301.54
CUST000172,0,58.9,Tablet,Tier 3,112.9,E-wallet,Female,1.3,5,Grocery,5,Divorced,10,1,23.5,15,4,35.0,142.34
CUST000173,0,37.9,Mobile Phone,Tier 2,20.3,Credit Card,Female,0.5,1,Fashion,2,Divorced,13,1,16.5,0,5,2.2,174.52
CUST000174,0,15.6,Tablet,Tier 2,29.5,E-wallet,Male,2.0,4,Mobile Phone,1,Divorced,12,0,12.5,16,13,17.1,189.13
CUST000175,0,38.0,Mobile Phone,Tier 1,31.4,Debit Card,Female,2.1,3,Mobile Phone,1,Married,1,1,21.1,12,12,12.6,231.9
CUST000176,0,32.4,Tablet,Tier 3,89.3,Debit Card,Female,2.6,1,Mobile Phone,1,Divorced,22,0,11.1,4,16,17.8,306.83
CUST000177,0,46.8,Mobile Phone,Tier 1,78.6,Debit Card,Male,3.5,5,Laptop & Accessory,2,Married,19,1,18.1,5,5,7.4,188.77
CUST000178,0,6.4,Mobile Phone,Tier 1,80.5,UPI,Male,4.5,1,Fashion,2,Single,19,0,13.9,0,16,4.5,115.56
CUST000179,1,45.7,Computer,Tier 2,119.8,UPI,Female,0.7,2,Others,4,Single,6,0,20.4,9,5,24.0,178.29
CUST000180,0,32.5,Mobile Phone,Tier 3,99.7,UPI,Female,0.3,6,Mobile Phone,5,Divorced,13,0,25.7,4,4,33.1,142.77
CUST000181,0,57.8,Computer,Tier 3,20.6,E-wallet,Male,0.1,1,Fashion,5,Single,19,0,18.0,0,1,32.3,246.65
CUST000182,0,20.5,Computer,Tier 3,47.4,UPI,Female,0.7,4,Grocery,4,Single,13,1,23.3,10,14,20.7,106.58
CUST000183,1,38.0,Computer,Tier 2,58.1,Credit Card,Male,3.3,1,Laptop & Accessory,4,Divorced,22,0,18.6,6,10,24.0,165.68
